id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
39,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
40,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
41,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
42,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
43,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
44,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
45,42 Draconis b,296,3.88 Jupiters,4.8262,2008
46,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
47,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
48,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
49,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
50,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
51,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
52,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
53,14 Herculis b,58,8.13881 Jupiters,6.61935,2002
54,16 Cygni B b,69,1.78 Jupiters,6.215,1996
55,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
56,18 Delphini b,249,10.3 Jupiters,5.51048,2008
57,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
58,24 Bootis b,313,0.91 Jupiters,5.59,2018
59,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
60,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
61,2M0437 b,419,4 Jupiters,16.186,2021
62,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
63,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
64,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
65,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
66,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
67,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
68,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
69,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
70,42 Draconis b,296,3.88 Jupiters,4.8262,2008
71,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
72,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
73,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
74,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
75,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
76,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
77,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
78,14 Herculis b,58,8.13881 Jupiters,6.61935,2002
79,16 Cygni B b,69,1.78 Jupiters,6.215,1996
80,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
81,18 Delphini b,249,10.3 Jupiters,5.51048,2008
82,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
83,24 Bootis b,313,0.91 Jupiters,5.59,2018
84,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
85,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
86,2M0437 b,419,4 Jupiters,16.186,2021
87,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
88,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
89,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
90,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
91,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
92,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
93,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
94,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
95,42 Draconis b,296,3.88 Jupiters,4.8262,2008
96,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
97,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
98,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
99,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
100,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
101,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
102,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
103,14 Herculis b,58,8.13881 Jupiters,6.61935,2002
104,16 Cygni B b,69,1.78 Jupiters,6.215,1996
105,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
106,18 Delphini b,249,10.3 Jupiters,5.51048,2008
107,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
108,24 Bootis b,313,0.91 Jupiters,5.59,2018
109,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
110,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
111,2M0437 b,419,4 Jupiters,16.186,2021
112,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
113,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
114,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
115,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
116,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
117,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
118,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
119,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
120,42 Draconis b,296,3.88 Jupiters,4.8262,2008
121,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
122,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
123,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
124,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
125,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
126,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
127,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
128,14 Herculis b,58,8.13881 Jupiters,6.61935,2002
129,16 Cygni B b,69,1.78 Jupiters,6.215,1996
130,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
131,18 Delphini b,249,10.3 Jupiters,5.51048,2008
132,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
133,24 Bootis b,313,0.91 Jupiters,5.59,2018
134,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
135,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
136,2M0437 b,419,4 Jupiters,16.186,2021
137,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
138,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
139,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
140,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
141,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
142,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
143,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
144,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
145,42 Draconis b,296,3.88 Jupiters,4.8262,2008
146,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
147,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
148,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
149,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
150,51 Eridani b,97,2 Jupiters,5.21149,2015
151,51 Pegasi b,50,0.46 Jupiters,5.45309,1995
152,55 Cancri b,41,0.8306 Jupiters,5.96,1996
153,55 Cancri c,41,0.1714 Jupiters,5.96,2004
154,55 Cancri d,41,3.878 Jupiters,5.96,2002
155,55 Cancri e,41,7.99 Earths,5.96,2004
156,55 Cancri f,41,0.141 Jupiters,5.96,2007
157,61 Virginis b,28,5.1 Earths,4.735,2009
158,61 Virginis c,28,18.2 Earths,4.735,2009
159,61 Virginis d,28,22.9 Earths,4.735,2009
160,6 Lyncis b,178,2.01 Jupiters,5.87307,2008
161,70 Virginis b,58,7.49 Jupiters,4.96808,1996
162,75 Ceti b,271,3 Jupiters,5.3532,2012
163,7 Canis Majoris b,65,1.85 Jupiters,3.95,2011
164,7 Canis Majoris c,65,0.87 Jupiters,3.95,2019
165,81 Ceti b,330,5.3 Jupiters,5.64307,2008
166,8 Ursae Minoris b,530,1.31 Jupiters,6.83295,2015
167,91 Aquarii b,144,3.2 Jupiters,4.23946,2013
168,AB Aurigae b,529,9 Jupiters,7.076,2022
169,AB Pictoris b,163,13.5 Jupiters,9.13,2005
170,AF Leporis b,88,5.237 Jupiters,6.332,2023
171,Alpha Arietis b,66,1.8 Jupiters,2.00538,2010
172,Alpha Tauri b,67,6.47 Jupiters,0.872,2015
173,AU Microscopii b,32,20.12 Earths,8.81,2020
174,AU Microscopii c,32,9.6 Earths,8.81,2021
175,b Centauri AB b,320,10.9 Jupiters,4.01,2021
176,BD-00 4475 b,139,25.05 Jupiters,9.01,2021
177,BD+03 2562 b,3492,6.4 Jupiters,9.577,2017
178,BD-06 1339 b,66,8.5 Earths,9.7,2013
179,BD-06 1339 c,66,0.17 Jupiters,9.7,2013
180,BD-08 2823 b,135,12.7132 Earths,9.86,2009
181,BD-08 2823 c,135,0.33 Jupiters,9.86,2009
182,BD-10 3166 b,275,0.59 Jupiters,10.013,2000
183,BD-11 4672 b,89,0.65 Jupiters,10.03,2014
184,BD-11 4672 c,89,15.37 Earths,10.03,2020
185,BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
186,BD+14 4559 b,161,1.04 Jupiters,9.78,2009
187,BD+15 2375 b,2505,1.061 Jupiters,10.41,2016
188,BD+15 2940 b,1391,1.11 Jupiters,9.01,2013
189,BD-17 63 b,112,5.1 Jupiters,9.62,2008
190,BD+20 2457 b,5023,21.42 Jupiters,9.743,2009
191,BD+20 2457 c,5023,12.47 Jupiters,9.743,2009
192,BD+20 274 b,4314,4.2 Jupiters,9.367,2012
193,BD+20 594 b,585,22.2481 Earths,10.849,2016
194,BD+45 564 b,175,1.36 Jupiters,9.67,2021
195,BD+48 738 b,2843,0.91 Jupiters,9.139,2011
196,BD+48 740 b,2174,1.7 Jupiters,8.69,2018
197,BD+49 828 b,1442,1.6 Jupiters,9.381,2015
198,BD+55 362 b,171,0.72 Jupiters,9.38,2021
199,BD+60 1417 b,147,15 Jupiters,9.374,2021
200,b Centauri AB b,320,10.9 Jupiters,4.01,2021
201,BD-00 4475 b,139,25.05 Jupiters,9.01,2021
202,BD+03 2562 b,3492,6.4 Jupiters,9.577,2017
203,BD-06 1339 b,66,8.5 Earths,9.7,2013
204,BD-06 1339 c,66,0.17 Jupiters,9.7,2013
205,BD-08 2823 b,135,12.7132 Earths,9.86,2009
206,BD-08 2823 c,135,0.33 Jupiters,9.86,2009
207,BD-10 3166 b,275,0.59 Jupiters,10.013,2000
208,BD-11 4672 b,89,0.65 Jupiters,10.03,2014
209,BD-11 4672 c,89,15.37 Earths,10.03,2020
210,BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
211,BD+14 4559 b,161,1.04 Jupiters,9.78,2009
212,BD+15 2375 b,2505,1.061 Jupiters,10.41,2016
213,BD+15 2940 b,1391,1.11 Jupiters,9.01,2013
214,BD-17 63 b,112,5.1 Jupiters,9.62,2008
215,BD+20 2457 b,5023,21.42 Jupiters,9.743,2009
216,BD+20 2457 c,5023,12.47 Jupiters,9.743,2009
217,BD+20 274 b,4314,4.2 Jupiters,9.367,2012
218,BD+20 594 b,585,22.2481 Earths,10.849,2016
219,BD+45 564 b,175,1.36 Jupiters,9.67,2021
220,BD+48 738 b,2843,0.91 Jupiters,9.139,2011
221,BD+48 740 b,2174,1.7 Jupiters,8.69,2018
222,BD+49 828 b,1442,1.6 Jupiters,9.381,2015
223,BD+55 362 b,171,0.72 Jupiters,9.38,2021
224,BD+60 1417 b,147,15 Jupiters,9.374,2021
225,BD+63 1405 b,124,3.96 Jupiters,8.96,2021
226,Beta Cancri b,290,7.8 Jupiters,3.51012,2014
227,Beta Pictoris b,64,11.73313 Jupiters,3.85,2008
228,Beta Pictoris c,64,10.14112 Jupiters,3.85,2019
229,Beta Ursae Minoris b,126,6.1 Jupiters,2.0569,2014
230,CD Ceti b,28,3.95 Earths,13.95,2020
231,CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011
232,CFHTWIR-Oph 98 b,,7.8 Jupiters,,2021
233,CHXR 73 b,621,12.569 Jupiters,,2006
234,CI Tauri b,515,11.6 Jupiters,13.642,2019
235,COCONUTS-2 b,36,6.3 Jupiters,11.298,2021
236,CoRoT-10 b,1104,2.75 Jupiters,15.293,2010
237,CoRoT-11 b,2137,2.33 Jupiters,12.897,2010
238,CoRoT-12 b,3674,0.917 Jupiters,15.588,2010
239,CoRoT-13 b,3748,1.308 Jupiters,15.005,2010
240,CoRoT-14 b,5691,7.6 Jupiters,15.932,2010
241,CoRoT-16 b,2389,0.535 Jupiters,16.052,2011
242,CoRoT-17 b,3837,2.43 Jupiters,16.29,2011
243,CoRoT-18 b,2495,3.47 Jupiters,14.868,2011
244,CoRoT-19 b,2579,1.11 Jupiters,14.135,2011
245,CoRoT-1 b,2570,1.03 Jupiters,13.623,2008
246,CoRoT-20 b,2753,4.3 Jupiters,14.63,2011
247,CoRoT-20 c,2753,17 Jupiters,14.63,2018
248,CoRoT-21 b,4563,2.26 Jupiters,16.058,2012
249,CoRoT-22 b,2046,12.2 Earths,13.82,2014
